"","DATE","WeatherStation","Date","Tmax","Tmin","RHMax","RHMin","ISODate","Year","Month","Day","JDay","Hour","Temp"
"4110",2019-06-26 12:00:00,"Fieldstone",2019-06-26 13:00:00,31,18.8,95,43,2019-06-26,2019,6,26,177,13,30.8381110318683
"4410",2019-06-26 12:00:00,"Fieldstone",2019-06-26 14:00:00,31,18.8,95,43,2019-06-26,2019,6,26,177,14,31
"4710",2019-06-26 12:00:00,"Fieldstone",2019-06-26 15:00:00,31,18.8,95,43,2019-06-26,2019,6,26,177,15,30.8381110318683
"5010",2019-06-26 12:00:00,"Fieldstone",2019-06-26 16:00:00,31,18.8,95,43,2019-06-26,2019,6,26,177,16,30.3567405271459
"5310",2019-06-26 12:00:00,"Fieldstone",2019-06-26 17:00:00,31,18.8,95,43,2019-06-26,2019,6,26,177,17,29.5686636619472
"5610",2019-06-26 12:00:00,"Fieldstone",2019-06-26 18:00:00,31,18.8,95,43,2019-06-26,2019,6,26,177,18,28.4947953461929
"5910",2019-06-26 12:00:00,"Fieldstone",2019-06-26 19:00:00,31,18.8,95,43,2019-06-26,2019,6,26,177,19,27.1636351591528
"6210",2019-06-26 12:00:00,"Fieldstone",2019-06-26 20:00:00,31,18.8,95,43,2019-06-26,2019,6,26,177,20,24.9649152697579
"6510",2019-06-26 12:00:00,"Fieldstone",2019-06-26 21:00:00,31,18.8,95,43,2019-06-26,2019,6,26,177,21,22.7944738398831
"6810",2019-06-26 12:00:00,"Fieldstone",2019-06-26 22:00:00,31,18.8,95,43,2019-06-26,2019,6,26,177,22,21.4008697504744
"7110",2019-06-26 12:00:00,"Fieldstone",2019-06-26 23:00:00,31,18.8,95,43,2019-06-26,2019,6,26,177,23,20.3723099431451
"3100",2019-06-27 12:00:00,"Fieldstone",2019-06-27 00:00:00,32.8,17.2,99,44,2019-06-27,2019,6,27,178,0,19.2247514034851
"6100",2019-06-27 12:00:00,"Fieldstone",2019-06-27 01:00:00,32.8,17.2,99,44,2019-06-27,2019,6,27,178,1,18.5149839459875
"910",2019-06-27 12:00:00,"Fieldstone",2019-06-27 02:00:00,32.8,17.2,99,44,2019-06-27,2019,6,27,178,2,17.9089515841119
